Gene  Rule 
g1236    ( g6 or g89 or g545 or g763 or g802 or g840 or g921 or g948 or g968 or g997 or g1133 or g1169 or g1207 or g1222 or g1229 or g1245 or g1272 or g1314 or g1393 or g1455 or g1487 )
g1237    ( g1415 )
g1238    ( g339 or g666 or g1100 or g1294 or g1359 )
g1239    ( g24 or g48 or g52 or g53 or g70 or g73 or g155 or g159 or g223 or g230 or g261 or g275 or g332 or g368 or g442 or g474 or g580 or g705 or g706 or g722 or g745 or g755 or g760 or g788 or g822 or g893 or g994 or g1008 or g1011 or g1082 or g1101 or g1106 or g1108 or g1137 or g1211 or g1218 or g1306 or g1337 or g1366 or g1389 or g1394 or g1417 or g1438 or g1484 )
g1240    ( g125 or g452 or g748 )
g1241    ( g503 or g837 or g1219 or g1231 or g1373 )
g1242    ( g121 or g622 or g853 )
g1243    ( g310 or g515 or g942 )
g1244    ( g66 )
g1245    ( g688 or g927 or g1177 )
g1246    ( g105 or g199 or g247 or g361 or g439 or g459 or g494 or g553 or g578 or g587 or g707 or g709 or g726 or g930 or g1040 or g1063 or g1229 or g1312 or g1379 or g1401 or g1446 or g1458 or g1487 )
g1247    ( g75 or g77 or g140 or g179 or g232 or g265 or g364 or g384 or g551 or g692 or g703 or g736 or g834 or g928 or g1035 or g1217 or g1314 or g1465 )
g1248    ( g8 or g22 or g33 or g57 or g75 or g90 or g91 or g140 or g192 or g197 or g208 or g268 or g273 or g283 or g312 or g430 or g441 or g447 or g451 or g528 or g614 or g682 or g703 or g731 or g743 or g840 or g843 or g851 or g853 or g858 or g949 or g955 or g996 or g1039 or g1059 or g1063 or g1101 or g1120 or g1217 or g1241 or g1297 or g1304 or g1305 or g1381 or g1401 or g1472 or g1476 or g1477 or g1481 )
g1249    ( g62 or g86 or g670 or g763 )
g1250    ( g68 or g598 or g1416 )
g1251    
g1252    ( g39 or g97 or g692 or g757 or g1281 or g1339 )
g1253    ( g64 or g66 or g115 or g117 or g243 or g624 or g655 or g807 or g1158 or g1164 or g1496 )
g1254    ( g183 or g1350 )
g1255    ( g485 or g534 or g624 or g665 or g837 or g950 or g984 or g1013 or g1480 )
g1256    ( g87 or g221 or g429 or g480 or g497 or g502 or g547 or g610 or g633 or g638 or g640 or g697 or g704 or g708 or g724 or g792 or g932 or g1004 or g1011 or g1031 or g1046 or g1060 or g1093 or g1121 or g1249 or g1268 or g1274 or g1318 or g1418 or g1433 or g1439 )
g1257    ( g1 or g53 or g141 or g154 or g160 or g191 or g225 or g242 or g246 or g255 or g325 or g349 or g462 or g474 or g595 or g602 or g642 or g657 or g686 or g700 or g702 or g706 or g721 or g729 or g747 or g765 or g788 or g807 or g815 or g816 or g822 or g853 or g855 or g862 or g931 or g979 or g992 or g1013 or g1014 or g1020 or g1060 or g1066 or g1105 or g1110 or g1126 or g1133 or g1140 or g1182 or g1204 or g1209 or g1220 or g1259 or g1263 or g1276 or g1281 or g1311 or g1327 or g1330 or g1358 or g1372 or g1374 or g1414 or g1422 or g1462 or g1478 or g1488 )
g1258    ( g521 or g639 or g927 or g1160 or g1200 or g1365 or g1477 )
g1259    ( g16 or g149 or g364 or g585 or g630 or g640 or g1219 or g1276 or g1297 or g1337 )
g1260    ( g14 or g17 or g58 or g64 or g70 or g100 or g121 or g217 or g222 or g231 or g272 or g275 or g277 or g306 or g328 or g354 or g384 or g410 or g428 or g486 or g488 or g492 or g514 or g516 or g538 or g564 or g577 or g580 or g585 or g586 or g593 or g596 or g599 or g684 or g695 or g718 or g751 or g754 or g758 or g784 or g789 or g791 or g800 or g818 or g819 or g830 or g831 or g839 or g859 or g866 or g877 or g923 or g927 or g950 or g958 or g962 or g968 or g1013 or g1018 or g1032 or g1033 or g1034 or g1044 or g1048 or g1098 or g1124 or g1134 or g1147 or g1186 or g1223 or g1234 or g1245 or g1254 or g1266 or g1272 or g1278 or g1279 or g1284 or g1309 or g1331 or g1341 or g1347 or g1352 or g1355 or g1360 or g1363 or g1367 or g1369 or g1370 or g1389 or g1412 or g1418 or g1439 or g1454 or g1456 or g1457 or g1459 or g1469 or g1470 or g1474 or g1479 or g1481 or g1484 or g1487 )
g1261    ( g34 or g108 or g157 or g844 or g1061 or g1280 or g1373 )
g1262    ( g86 or g111 or g158 or g172 or g187 or g238 or g249 or g418 or g683 or g824 or g1209 or g1248 or g1310 or g1409 )
g1263    ( g210 or g223 or g260 or g338 or g343 or g451 or g493 or g625 or g645 or g795 or g1121 or g1319 or g1320 or g1331 or g1348 or g1377 or g1390 or g1471 or g1482 )
g1264    ( g216 or g329 or g548 or g554 or g691 or g717 or g718 or g953 or g981 or g1224 or g1302 or g1332 or g1429 or g1446 or g1490 or g1495 )
g1265    ( g653 or g777 or g828 or g1468 or g1481 )
g1266    ( g45 or g281 or g358 or g482 or g493 or g632 or g795 or g1079 or g1215 or g1398 )
g1267    ( g47 or g273 or g604 or g632 or g799 or g959 or g1076 )
g1268    ( g235 or g921 or g1040 or g1218 or g1334 )
g1269    ( g56 or g194 or g294 or g320 or g476 or g522 or g909 or g1054 or g1306 or g1355 or g1368 or g1404 or g1420 )
g1270    ( g43 or g569 or g1368 )
g1271    ( g297 or g308 or g490 or g723 or g774 or g839 or g931 or g943 or g957 or g974 or g1034 or g1084 or g1157 or g1209 or g1257 or g1355 )
g1272    ( g182 or g255 or g776 or g896 or g1063 )
g1273    ( g90 or g344 or g403 or g716 )
g1274    ( g25 or g285 or g691 or g756 or g1087 or g1298 or g1348 )
g1275    ( g33 or g66 or g95 or g109 or g139 or g224 or g280 or g290 or g291 or g292 or g332 or g360 or g366 or g374 or g408 or g412 or g421 or g460 or g539 or g634 or g679 or g704 or g751 or g763 or g774 or g775 or g807 or g824 or g828 or g838 or g845 or g857 or g870 or g915 or g1039 or g1090 or g1097 or g1182 or g1208 or g1256 or g1279 or g1366 or g1392 or g1402 or g1492 )
g1276    ( g39 or g380 or g832 )
g1277    ( g281 or g436 or g455 or g961 or g1107 or g1376 or g1414 )
g1278    ( g20 or g29 or g47 or g64 or g71 or g86 or g90 or g99 or g108 or g119 or g122 or g147 or g174 or g196 or g204 or g209 or g232 or g257 or g282 or g286 or g313 or g333 or g377 or g381 or g392 or g393 or g396 or g433 or g474 or g475 or g548 or g596 or g601 or g618 or g621 or g630 or g668 or g676 or g681 or g683 or g695 or g702 or g714 or g725 or g740 or g748 or g749 or g784 or g786 or g795 or g816 or g817 or g828 or g831 or g836 or g849 or g858 or g916 or g917 or g924 or g930 or g940 or g957 or g958 or g1011 or g1026 or g1037 or g1044 or g1051 or g1056 or g1073 or g1087 or g1101 or g1107 or g1124 or g1139 or g1152 or g1165 or g1197 or g1202 or g1207 or g1220 or g1221 or g1232 or g1254 or g1263 or g1265 or g1274 or g1281 or g1299 or g1338 or g1341 or g1342 or g1348 or g1363 or g1371 or g1376 or g1382 or g1386 or g1423 or g1477 or g1480 or g1486 or g1488 or g1492 or g1498 or g1499 )
g1279    ( g2 or g7 or g12 or g13 or g14 or g15 or g16 or g21 or g22 or g23 or g24 or g25 or g26 or g28 or g29 or g30 or g33 or g34 or g36 or g38 or g42 or g43 or g45 or g46 or g47 or g48 or g49 or g50 or g51 or g52 or g54 or g58 or g59 or g61 or g63 or g65 or g66 or g69 or g70 or g71 or g75 or g76 or g77 or g81 or g83 or g84 or g88 or g91 or g93 or g101 or g102 or g104 or g108 or g110 or g111 or g113 or g114 or g116 or g118 or g119 or g122 or g123 or g124 or g129 or g130 or g132 or g133 or g140 or g142 or g143 or g145 or g146 or g147 or g149 or g151 or g152 or g153 or g156 or g159 or g160 or g162 or g163 or g169 or g170 or g172 or g173 or g174 or g176 or g181 or g182 or g184 or g186 or g187 or g188 or g195 or g196 or g199 or g200 or g201 or g203 or g207 or g208 or g209 or g210 or g211 or g212 or g213 or g214 or g220 or g224 or g225 or g231 or g232 or g236 or g237 or g239 or g240 or g246 or g247 or g249 or g250 or g251 or g252 or g253 or g255 or g256 or g260 or g261 or g262 or g263 or g266 or g267 or g268 or g269 or g276 or g279 or g280 or g282 or g283 or g284 or g285 or g286 or g287 or g288 or g291 or g293 or g294 or g295 or g302 or g304 or g305 or g306 or g308 or g311 or g312 or g313 or g314 or g315 or g317 or g319 or g323 or g325 or g326 or g327 or g328 or g329 or g330 or g332 or g334 or g337 or g338 or g342 or g346 or g347 or g348 or g349 or g351 or g357 or g359 or g360 or g361 or g362 or g363 or g364 or g367 or g368 or g369 or g370 or g371 or g372 or g375 or g376 or g379 or g380 or g381 or g382 or g383 or g385 or g386 or g389 or g390 or g391 or g392 or g395 or g396 or g397 or g399 or g402 or g406 or g409 or g415 or g420 or g421 or g422 or g423 or g426 or g427 or g429 or g430 or g431 or g432 or g433 or g434 or g435 or g438 or g439 or g440 or g441 or g442 or g443 or g445 or g449 or g450 or g451 or g452 or g453 or g455 or g456 or g460 or g462 or g463 or g464 or g467 or g468 or g472 or g474 or g478 or g479 or g481 or g482 or g483 or g485 or g488 or g489 or g490 or g492 or g495 or g498 or g499 or g500 or g501 or g505 or g507 or g509 or g511 or g517 or g518 or g519 or g522 or g523 or g524 or g527 or g529 or g530 or g536 or g538 or g540 or g542 or g543 or g545 or g546 or g548 or g552 or g558 or g562 or g563 or g566 or g567 or g570 or g571 or g572 or g573 or g574 or g576 or g578 or g579 or g580 or g583 or g585 or g589 or g590 or g592 or g594 or g597 or g598 or g599 or g602 or g606 or g609 or g610 or g613 or g615 or g618 or g619 or g621 or g622 or g623 or g625 or g629 or g630 or g633 or g635 or g636 or g639 or g640 or g642 or g643 or g644 or g645 or g647 or g648 or g653 or g655 or g657 or g658 or g661 or g662 or g664 or g668 or g670 or g671 or g672 or g674 or g675 or g676 or g677 or g680 or g683 or g684 or g685 or g687 or g688 or g690 or g691 or g695 or g697 or g698 or g704 or g706 or g707 or g708 or g710 or g711 or g713 or g714 or g715 or g716 or g721 or g722 or g726 or g730 or g731 or g734 or g739 or g741 or g743 or g744 or g748 or g750 or g753 or g754 or g757 or g758 or g761 or g764 or g765 or g766 or g769 or g773 or g777 or g779 or g783 or g786 or g789 or g790 or g793 or g796 or g797 or g801 or g803 or g804 or g808 or g810 or g811 or g813 or g815 or g817 or g818 or g820 or g821 or g822 or g823 or g825 or g829 or g830 or g831 or g833 or g836 or g838 or g840 or g843 or g846 or g847 or g851 or g855 or g856 or g858 or g859 or g861 or g862 or g864 or g866 or g867 or g871 or g872 or g873 or g874 or g876 or g878 or g879 or g884 or g886 or g887 or g888 or g889 or g890 or g892 or g895 or g897 or g898 or g900 or g901 or g902 or g903 or g904 or g907 or g909 or g911 or g912 or g914 or g915 or g919 or g921 or g923 or g925 or g927 or g932 or g933 or g940 or g942 or g943 or g944 or g945 or g947 or g948 or g949 or g950 or g953 or g954 or g955 or g957 or g958 or g960 or g962 or g964 or g965 or g967 or g969 or g970 or g973 or g974 or g975 or g976 or g977 or g978 or g979 or g980 or g983 or g984 or g985 or g986 or g987 or g988 or g992 or g996 or g997 or g999 or g1000 or g1005 or g1007 or g1009 or g1012 or g1013 or g1019 or g1025 or g1027 or g1032 or g1033 or g1035 or g1036 or g1037 or g1038 or g1042 or g1043 or g1044 or g1045 or g1046 or g1047 or g1049 or g1051 or g1052 or g1057 or g1059 or g1061 or g1063 or g1066 or g1068 or g1070 or g1073 or g1074 or g1077 or g1078 or g1081 or g1082 or g1083 or g1085 or g1086 or g1088 or g1089 or g1092 or g1094 or g1095 or g1096 or g1097 or g1102 or g1104 or g1105 or g1107 or g1108 or g1109 or g1110 or g1112 or g1113 or g1115 or g1116 or g1121 or g1122 or g1124 or g1125 or g1126 or g1130 or g1131 or g1132 or g1133 or g1134 or g1136 or g1139 or g1140 or g1144 or g1148 or g1149 or g1150 or g1152 or g1153 or g1154 or g1156 or g1157 or g1160 or g1163 or g1165 or g1168 or g1174 or g1176 or g1178 or g1179 or g1180 or g1181 or g1182 or g1183 or g1184 or g1186 or g1189 or g1191 or g1193 or g1194 or g1197 or g1198 or g1201 or g1203 or g1204 or g1205 or g1206 or g1207 or g1209 or g1210 or g1211 or g1212 or g1214 or g1216 or g1218 or g1219 or g1220 or g1221 or g1222 or g1223 or g1224 or g1225 or g1226 or g1228 or g1229 or g1230 or g1231 or g1233 or g1234 or g1239 or g1241 or g1243 or g1244 or g1246 or g1247 or g1248 or g1249 or g1251 or g1252 or g1254 or g1255 or g1256 or g1257 or g1260 or g1261 or g1262 or g1263 or g1265 or g1266 or g1267 or g1268 or g1269 or g1271 or g1273 or g1274 or g1275 or g1276 or g1277 or g1278 or g1280 or g1285 or g1286 or g1289 or g1290 or g1291 or g1292 or g1293 or g1298 or g1300 or g1301 or g1302 or g1303 or g1304 or g1305 or g1311 or g1312 or g1313 or g1314 or g1318 or g1320 or g1322 or g1324 or g1326 or g1328 or g1329 or g1330 or g1332 or g1333 or g1334 or g1335 or g1336 or g1337 or g1342 or g1343 or g1344 or g1346 or g1349 or g1353 or g1355 or g1356 or g1359 or g1360 or g1361 or g1363 or g1365 or g1366 or g1369 or g1372 or g1376 or g1377 or g1379 or g1380 or g1381 or g1385 or g1386 or g1389 or g1393 or g1394 or g1395 or g1396 or g1397 or g1398 or g1399 or g1400 or g1404 or g1405 or g1406 or g1407 or g1408 or g1410 or g1411 or g1412 or g1413 or g1414 or g1415 or g1416 or g1417 or g1418 or g1419 or g1420 or g1421 or g1422 or g1423 or g1424 or g1425 or g1427 or g1428 or g1429 or g1430 or g1431 or g1432 or g1433 or g1434 or g1435 or g1438 or g1440 or g1441 or g1442 or g1445 or g1446 or g1447 or g1448 or g1449 or g1451 or g1452 or g1453 or g1454 or g1456 or g1457 or g1458 or g1459 or g1460 or g1463 or g1464 or g1466 or g1468 or g1469 or g1470 or g1472 or g1473 or g1474 or g1475 or g1476 or g1477 or g1479 or g1480 or g1481 or g1482 or g1483 or g1484 or g1485 or g1486 or g1487 or g1488 or g1489 or g1491 or g1492 or g1493 or g1494 or g1495 or g1497 or g1498 or g1499 or g1500 )
g1280    ( g309 or g512 or g538 or g688 or g1262 or g1384 )
g1281    ( g221 or g310 or g575 or g613 or g881 or g950 or g1003 or g1016 or g1044 or g1098 or g1198 or g1199 or g1229 or g1233 or g1485 or g1499 )
g1282    ( g408 or g1044 or g1147 )
g1283    ( g535 or g551 or g562 or g940 or g946 or g997 or g1027 or g1161 or g1436 )
g1284    ( g1275 or g1478 )
g1285    ( g19 or g666 or g927 or g1415 )
g1286    ( g16 or g30 or g46 or g58 or g76 or g112 or g190 or g200 or g215 or g243 or g371 or g442 or g446 or g501 or g517 or g519 or g531 or g592 or g607 or g621 or g627 or g642 or g672 or g703 or g783 or g791 or g892 or g941 or g944 or g1038 or g1040 or g1062 or g1125 or g1152 or g1156 or g1195 or g1202 or g1203 or g1204 or g1241 or g1254 or g1272 or g1280 or g1284 or g1291 or g1292 or g1336 or g1340 or g1390 or g1406 or g1448 or g1483 or g1492 )
g1287    ( g67 or g136 or g160 or g350 or g455 or g457 or g689 or g691 or g694 or g722 or g807 or g879 or g1092 or g1171 or g1186 or g1202 or g1295 or g1297 or g1302 or g1320 or g1474 )
g1288    ( g76 or g217 or g313 or g528 or g576 or g715 or g721 or g933 or g1392 or g1448 or g1498 )
g1289    ( g216 or g926 or g1290 or g1350 or g1470 )
g1290    ( g527 or g580 or g1032 )
g1291    ( g536 or g674 or g715 )
g1292    ( g19 or g339 or g988 or g1202 or g1331 or g1441 or g1464 )
g1293    ( g22 or g231 or g251 or g257 or g409 or g546 or g667 or g749 or g819 or g823 or g1021 or g1082 or g1095 or g1097 or g1231 or g1292 or g1310 or g1322 or g1368 or g1376 or g1383 or g1456 or g1462 or g1464 )
g1294    ( g197 or g317 or g452 or g1025 or g1162 or g1213 or g1285 or g1386 or g1482 )
g1295    ( g153 or g567 or g640 or g929 or g1441 or g1473 )
g1296    ( g14 or g17 or g19 or g34 or g82 or g91 or g105 or g154 or g161 or g177 or g214 or g227 or g233 or g256 or g309 or g367 or g400 or g440 or g487 or g504 or g512 or g524 or g547 or g594 or g699 or g733 or g750 or g756 or g768 or g774 or g873 or g889 or g907 or g968 or g992 or g1001 or g1020 or g1025 or g1027 or g1129 or g1140 or g1203 or g1240 or g1243 or g1247 or g1270 or g1271 or g1289 or g1290 or g1311 or g1313 or g1327 or g1341 or g1373 or g1412 or g1414 or g1431 or g1436 or g1451 or g1459 or g1481 or g1482 or g1483 or g1492 )
g1297    ( g1468 or g1484 )
g1298    ( g37 or g441 or g616 or g689 or g854 or g1123 or g1280 or g1352 )
g1299    ( g180 or g599 or g694 or g1108 or g1268 or g1462 )
g1300    ( g18 or g335 or g514 or g522 or g912 or g926 or g1498 )
g1301    ( g113 or g215 or g302 or g308 or g378 or g414 or g493 or g822 or g854 or g913 or g1005 or g1158 or g1335 or g1342 or g1350 or g1352 or g1403 or g1419 )
g1302    ( g125 or g281 or g953 or g1372 or g1444 )
g1303    ( g456 or g941 or g1170 or g1225 or g1372 or g1430 or g1493 )
g1304    ( g331 or g495 or g496 or g745 or g1157 or g1207 )
g1305    ( g289 or g334 or g637 or g771 or g805 or g817 or g873 or g964 or g984 or g1098 or g1283 or g1387 or g1403 or g1410 or g1459 )
g1306    ( g160 or g376 or g577 or g849 or g1487 )
g1307    ( g194 or g321 or g595 or g833 or g1375 )
g1308    ( g50 or g78 or g133 or g136 or g150 or g199 or g289 or g383 or g392 or g405 or g416 or g446 or g472 or g476 or g493 or g503 or g537 or g593 or g597 or g598 or g604 or g630 or g648 or g673 or g709 or g712 or g718 or g731 or g770 or g771 or g847 or g881 or g921 or g979 or g1070 or g1075 or g1081 or g1112 or g1152 or g1180 or g1189 or g1226 or g1295 or g1303 or g1335 or g1387 or g1402 or g1426 or g1439 or g1466 or g1487 )
g1309    ( g230 or g423 or g430 or g535 or g744 or g800 or g934 or g938 or g964 or g1127 or g1155 or g1273 or g1299 or g1307 or g1346 or g1400 or g1483 )
g1310    ( g47 or g418 or g528 or g1224 or g1425 )
g1311    ( g266 or g345 or g349 or g356 or g398 or g408 or g497 )
g1312    ( g351 or g407 or g632 or g657 or g682 or g978 or g1142 or g1234 )
g1313    ( g308 or g811 or g882 or g946 or g962 or g1247 or g1420 or g1465 or g1498 )
g1314    ( g804 or g1474 )
g1315    ( g131 or g253 or g850 )
g1316    ( g227 or g473 or g556 or g590 or g1083 or g1148 or g1159 or g1329 or g1348 )
g1317    ( g695 or g1344 )
g1318    ( g22 or g141 or g265 or g736 or g938 or g1056 or g1217 or g1277 )
g1319    ( g31 or g376 or g815 or g936 or g995 or g1129 or g1268 or g1426 )
g1320    ( g153 or g283 or g583 or g931 or g1030 or g1075 or g1246 or g1265 or g1279 or g1364 or g1455 )
g1321    ( g293 or g352 or g603 or g687 or g992 )
g1322    ( g154 or g288 or g884 or g1196 )
g1323    ( g242 or g428 or g645 or g885 or g909 or g1133 or g1166 or g1186 )
g1324    ( g1090 )
g1325    ( g19 or g22 or g24 or g37 or g54 or g69 or g93 or g104 or g109 or g128 or g212 or g233 or g326 or g328 or g329 or g340 or g373 or g390 or g397 or g406 or g427 or g432 or g434 or g442 or g445 or g485 or g531 or g533 or g539 or g542 or g555 or g619 or g630 or g648 or g658 or g704 or g722 or g724 or g763 or g808 or g816 or g847 or g867 or g897 or g908 or g930 or g941 or g950 or g1012 or g1039 or g1048 or g1081 or g1115 or g1125 or g1143 or g1172 or g1177 or g1181 or g1210 or g1215 or g1259 or g1268 or g1273 or g1286 or g1309 or g1342 or g1349 or g1363 or g1391 or g1412 or g1415 or g1423 or g1434 or g1438 or g1453 or g1456 or g1462 or g1475 or g1484 or g1496 or g1500 )
g1326    ( g566 or g986 or g1215 )
g1327    ( g91 or g712 or g825 or g993 or g1326 or g1373 )
g1328    ( g104 or g277 or g599 or g942 or g1281 or g1285 or g1301 or g1309 or g1335 )
g1329    ( g43 or g87 or g184 or g248 or g262 or g264 or g347 or g392 or g439 or g584 or g589 or g671 or g721 or g800 or g840 or g865 or g879 or g913 or g970 or g987 or g1115 or g1117 or g1152 or g1189 or g1281 or g1324 or g1334 or g1374 or g1408 or g1410 or g1442 or g1482 )
g1330    ( g133 or g521 or g773 or g840 or g998 or g1110 or g1206 or g1224 or g1250 )
g1331    ( g8 or g80 or g190 or g238 or g260 or g293 or g310 or g315 or g326 or g341 or g395 or g410 or g457 or g465 or g479 or g505 or g524 or g540 or g574 or g610 or g704 or g795 or g797 or g878 or g883 or g884 or g895 or g926 or g940 or g942 or g1001 or g1006 or g1015 or g1059 or g1103 or g1125 or g1187 or g1207 or g1212 or g1214 or g1238 or g1274 or g1325 or g1350 or g1356 or g1359 or g1360 or g1372 or g1373 or g1377 or g1387 or g1391 or g1419 or g1440 or g1444 or g1453 or g1498 )
g1332    ( g1151 or g1191 or g1370 or g1424 )
g1333    ( g4 or g9 or g12 or g14 or g15 or g18 or g23 or g26 or g28 or g32 or g35 or g36 or g37 or g38 or g42 or g43 or g47 or g48 or g53 or g54 or g55 or g58 or g68 or g69 or g70 or g74 or g78 or g80 or g81 or g88 or g93 or g97 or g108 or g112 or g115 or g117 or g122 or g123 or g126 or g127 or g129 or g130 or g131 or g137 or g141 or g142 or g146 or g151 or g156 or g161 or g163 or g164 or g166 or g169 or g173 or g174 or g175 or g176 or g180 or g184 or g190 or g196 or g206 or g212 or g213 or g217 or g219 or g220 or g224 or g225 or g226 or g228 or g230 or g231 or g233 or g234 or g236 or g237 or g238 or g239 or g240 or g242 or g244 or g251 or g253 or g254 or g255 or g258 or g268 or g270 or g271 or g274 or g277 or g281 or g286 or g289 or g296 or g299 or g302 or g306 or g307 or g309 or g313 or g314 or g316 or g321 or g325 or g330 or g333 or g334 or g335 or g337 or g342 or g343 or g345 or g346 or g347 or g349 or g354 or g368 or g379 or g380 or g388 or g391 or g394 or g398 or g400 or g403 or g410 or g414 or g422 or g429 or g431 or g432 or g436 or g440 or g443 or g444 or g453 or g456 or g459 or g464 or g467 or g468 or g471 or g472 or g475 or g477 or g483 or g486 or g487 or g490 or g494 or g495 or g496 or g500 or g501 or g503 or g509 or g511 or g518 or g522 or g527 or g530 or g532 or g533 or g538 or g544 or g546 or g557 or g561 or g563 or g565 or g566 or g567 or g571 or g574 or g576 or g581 or g586 or g592 or g596 or g597 or g598 or g599 or g602 or g603 or g610 or g617 or g618 or g620 or g622 or g624 or g625 or g632 or g635 or g636 or g638 or g642 or g648 or g652 or g653 or g659 or g661 or g665 or g666 or g667 or g668 or g670 or g671 or g673 or g677 or g680 or g682 or g687 or g697 or g698 or g699 or g700 or g706 or g710 or g712 or g716 or g717 or g718 or g720 or g723 or g727 or g728 or g730 or g738 or g740 or g742 or g745 or g754 or g759 or g764 or g766 or g775 or g776 or g778 or g782 or g788 or g789 or g792 or g798 or g800 or g801 or g802 or g806 or g813 or g814 or g815 or g820 or g821 or g823 or g826 or g827 or g832 or g839 or g843 or g844 or g851 or g852 or g863 or g871 or g872 or g875 or g877 or g880 or g881 or g885 or g889 or g896 or g899 or g901 or g906 or g907 or g910 or g914 or g917 or g919 or g920 or g926 or g928 or g929 or g933 or g936 or g939 or g940 or g944 or g947 or g951 or g952 or g955 or g956 or g958 or g959 or g960 or g963 or g966 or g971 or g972 or g973 or g975 or g979 or g981 or g985 or g987 or g989 or g990 or g993 or g1003 or g1005 or g1023 or g1025 or g1027 or g1030 or g1031 or g1032 or g1041 or g1046 or g1049 or g1050 or g1068 or g1073 or g1078 or g1081 or g1090 or g1091 or g1093 or g1095 or g1099 or g1100 or g1103 or g1104 or g1106 or g1110 or g1113 or g1114 or g1118 or g1122 or g1124 or g1125 or g1128 or g1129 or g1131 or g1132 or g1135 or g1139 or g1142 or g1145 or g1147 or g1150 or g1160 or g1161 or g1162 or g1163 or g1164 or g1166 or g1171 or g1173 or g1174 or g1176 or g1178 or g1179 or g1184 or g1185 or g1189 or g1190 or g1194 or g1201 or g1207 or g1208 or g1209 or g1211 or g1213 or g1219 or g1220 or g1221 or g1222 or g1224 or g1233 or g1235 or g1237 or g1239 or g1242 or g1243 or g1246 or g1247 or g1251 or g1258 or g1262 or g1265 or g1267 or g1269 or g1270 or g1271 or g1272 or g1275 or g1277 or g1280 or g1284 or g1292 or g1298 or g1300 or g1301 or g1306 or g1307 or g1308 or g1309 or g1310 or g1314 or g1316 or g1317 or g1318 or g1324 or g1326 or g1328 or g1329 or g1330 or g1332 or g1337 or g1341 or g1342 or g1346 or g1348 or g1349 or g1351 or g1353 or g1354 or g1356 or g1360 or g1361 or g1364 or g1365 or g1367 or g1368 or g1370 or g1374 or g1375 or g1377 or g1378 or g1379 or g1382 or g1384 or g1387 or g1388 or g1389 or g1392 or g1393 or g1395 or g1396 or g1397 or g1400 or g1402 or g1403 or g1404 or g1407 or g1408 or g1410 or g1412 or g1414 or g1415 or g1417 or g1418 or g1422 or g1423 or g1424 or g1428 or g1430 or g1431 or g1435 or g1436 or g1439 or g1441 or g1442 or g1444 or g1448 or g1451 or g1453 or g1455 or g1456 or g1459 or g1462 or g1466 or g1469 or g1475 or g1476 or g1477 or g1478 or g1479 or g1480 or g1482 or g1483 or g1484 or g1485 or g1486 or g1487 or g1488 or g1489 or g1490 or g1492 or g1493 or g1495 or g1496 or g1497 or g1498 or g1500 )
g1334    ( g9 or g296 or g882 or g1176 or g1227 )
g1335    ( g134 or g371 or g850 or g969 or g972 or g1355 or g1481 )
g1336    ( g163 or g276 or g305 or g364 or g699 or g749 or g1138 or g1347 or g1368 )
g1337    ( g83 or g102 or g199 or g220 or g433 or g521 or g627 or g790 or g1486 )
g1338    ( g12 or g75 or g93 or g106 or g144 or g166 or g193 or g194 or g215 or g225 or g239 or g242 or g263 or g266 or g316 or g324 or g347 or g362 or g393 or g426 or g440 or g467 or g492 or g504 or g528 or g531 or g556 or g593 or g627 or g713 or g725 or g749 or g761 or g768 or g809 or g841 or g845 or g854 or g871 or g900 or g909 or g910 or g929 or g944 or g975 or g997 or g1000 or g1075 or g1080 or g1126 or g1134 or g1257 or g1282 or g1287 or g1303 or g1316 or g1324 or g1326 or g1329 or g1355 or g1385 or g1390 or g1396 or g1431 or g1458 or g1462 or g1473 or g1500 )
g1339    ( g675 or g1020 or g1300 or g1318 or g1336 )
g1340    ( g58 or g131 or g207 or g621 or g1062 or g1191 or g1220 or g1466 )
g1341    ( g13 or g40 or g71 or g78 or g106 or g114 or g197 or g278 or g378 or g388 or g419 or g420 or g430 or g432 or g518 or g556 or g576 or g606 or g737 or g776 or g842 or g850 or g867 or g871 or g898 or g933 or g938 or g955 or g1068 or g1100 or g1260 or g1290 or g1369 or g1429 )
g1342    ( g385 or g547 or g635 or g812 or g919 or g1021 or g1053 )
g1343    ( g856 or g936 or g1339 )
g1344    ( g24 or g186 or g203 or g217 or g219 or g286 or g318 or g346 or g391 or g686 or g687 or g734 or g756 or g784 or g850 or g867 or g951 or g1020 or g1070 or g1072 or g1139 or g1222 or g1263 or g1284 or g1321 or g1362 or g1372 or g1393 or g1457 )
g1345    ( g50 or g69 or g335 or g509 or g839 or g1093 or g1250 or g1370 )
g1346    ( g75 or g425 or g667 or g750 or g1047 or g1064 or g1078 or g1277 or g1363 or g1439 or g1493 )
g1347    ( g562 or g941 or g1071 or g1174 or g1402 or g1408 )
g1348    ( g94 or g103 or g145 or g173 or g185 or g188 or g201 or g212 or g220 or g236 or g427 or g459 or g480 or g578 or g608 or g640 or g673 or g684 or g703 or g717 or g718 or g800 or g806 or g881 or g1113 or g1123 or g1263 or g1373 or g1374 or g1378 or g1390 or g1394 or g1452 or g1493 )
g1349    ( g151 or g165 or g391 or g741 or g871 or g996 or g1170 or g1180 or g1264 or g1415 or g1484 )
g1350    ( g83 or g466 or g574 or g663 or g1025 or g1297 or g1301 or g1330 or g1410 or g1468 )
